dataset,workload,table,load_factor,insert_ns_per_op,find_ns_per_op,insert_count,find_count,capacity,elements,bytes_estimate,bytes_per_element
uniform,bulk,linear,0.6103515625,19.9635,17.0963,10000,10000,16384,10000,131072,13
uniform,bulk,quadratic,0.6103515625,22.9437,20.3076,10000,10000,16384,10000,131072,13
uniform,bulk,cuckoo,0.30517578125,50.0158,20.3494,10000,10000,32768,10000,262144,26
uniform,bulk,slick,1.0,45.1934,13.8922,10000,10000,10000,10000,211072,21
uniform,bulk,std_set,0.6975446428571429,6.8108,3.7172,10000,10000,14336,10000,114688,11
uniform,bulk,linear,0.3814697265625,54.90394,23.28087,100000,100000,262144,100000,2097152,20
uniform,bulk,quadratic,0.3814697265625,58.15464,26.6495,100000,100000,262144,100000,2097152,20
uniform,bulk,cuckoo,0.3814697265625,66.85025,24.9511,100000,100000,262144,100000,2097152,20
uniform,bulk,slick,1.0,53.48777,15.14422,100000,100000,100000,100000,1848576,18
uniform,bulk,std_set,0.8719308035714286,8.79726,5.54395,100000,100000,114688,100000,917504,9
uniform,bulk,linear,0.476837158203125,104.041176,40.248103,1000000,1000000,2097152,1000000,16777216,16
uniform,bulk,quadratic,0.476837158203125,111.496109,42.765061,1000000,1000000,2097152,1000000,16777216,16
uniform,bulk,cuckoo,0.476837158203125,164.572035,51.43695,1000000,1000000,2097152,1000000,16777216,16
uniform,bulk,slick,1.0,113.968294,19.544615,1000000,1000000,1000000,1000000,16388608,16
uniform,bulk,std_set,0.5449567522321429,34.966538,28.39729,1000000,1000000,1835008,1000000,14680064,14
uniform,bulk,linear,0.5960464477539062,88.3163861,48.0616629,10000000,10000000,16777216,10000000,134217728,13
uniform,bulk,quadratic,0.5960464477539062,93.1656556,52.7500128,10000000,10000000,16777216,10000000,134217728,13
uniform,bulk,cuckoo,0.2980232238769531,184.1051942,59.5689725,10000000,10000000,33554432,10000000,268435456,26
uniform,bulk,slick,1.0,168.1318764,55.1443079,10000000,10000000,10000000,10000000,214217728,21
uniform,bulk,std_set,0.6811959402901786,106.3431359,39.2461213,10000000,10000000,14680064,10000000,117440512,11
uniform,bulk,linear,0.6103515625,19.5409,17.1241,10000,10000,16384,10000,131072,13
uniform,bulk,quadratic,0.6103515625,22.3032,19.846,10000,10000,16384,10000,131072,13
uniform,bulk,cuckoo,0.30517578125,45.8277,19.3227,10000,10000,32768,10000,262144,26
uniform,bulk,slick,1.0,42.4873,12.8297,10000,10000,10000,10000,211072,21
uniform,bulk,std_set,0.6975446428571429,6.2819,3.3971,10000,10000,14336,10000,114688,11
uniform,bulk,linear,0.3814697265625,59.18651,22.91753,100000,100000,262144,100000,2097152,20
uniform,bulk,quadratic,0.3814697265625,56.48459,26.52494,100000,100000,262144,100000,2097152,20
uniform,bulk,cuckoo,0.3814697265625,66.17513,24.44837,100000,100000,262144,100000,2097152,20
uniform,bulk,slick,1.0,51.82923,14.85865,100000,100000,100000,100000,1848576,18
uniform,bulk,std_set,0.8719308035714286,9.2312,5.96447,100000,100000,114688,100000,917504,9
uniform,bulk,linear,0.476837158203125,98.951578,39.802479,1000000,1000000,2097152,1000000,16777216,16
uniform,bulk,quadratic,0.476837158203125,106.273522,42.413246,1000000,1000000,2097152,1000000,16777216,16
uniform,bulk,cuckoo,0.476837158203125,165.895007,51.826337,1000000,1000000,2097152,1000000,16777216,16
uniform,bulk,slick,1.0,117.517847,20.04198,1000000,1000000,1000000,1000000,16388608,16
uniform,bulk,std_set,0.5449567522321429,35.126006,27.680375,1000000,1000000,1835008,1000000,14680064,14
uniform,bulk,linear,0.5960464477539062,89.8969094,49.162878,10000000,10000000,16777216,10000000,134217728,13
uniform,bulk,quadratic,0.5960464477539062,95.5658847,53.5512342,10000000,10000000,16777216,10000000,134217728,13
uniform,bulk,cuckoo,0.2980232238769531,184.1565979,58.259142,10000000,10000000,33554432,10000000,268435456,26
uniform,bulk,slick,1.0,167.4797716,54.8422953,10000000,10000000,10000000,10000000,214217728,21
uniform,bulk,std_set,0.6811959402901786,106.3735086,38.1799274,10000000,10000000,14680064,10000000,117440512,11
uniform,mixed,linear,0.36712646484375,38.52709359605911,33.34755332496863,1015,3985,16384,6015,131072,21
uniform,mixed,quadratic,0.36712646484375,42.5487684729064,34.953826850690085,1015,3985,16384,6015,131072,21
uniform,mixed,cuckoo,0.183563232421875,62.35960591133005,40.98218318695107,1015,3985,32768,6015,262144,43
uniform,mixed,slick,0.6015,50.30541871921182,31.688080301129233,1015,3985,10000,6015,211072,35
uniform,mixed,std_set,0.41957310267857145,26.83152709359606,26.92396486825596,1015,3985,14336,6015,114688,19
uniform,mixed,linear,0.45818328857421875,54.421680755842864,45.97005883089248,10055,39945,131072,60055,1048576,17
uniform,mixed,quadratic,0.45818328857421875,65.32859273993039,49.450269120040055,10055,39945,131072,60055,1048576,17
uniform,mixed,cuckoo,0.22909164428710938,131.53406265539533,81.12111653523596,10055,39945,262144,60055,2097152,34
uniform,mixed,slick,0.60055,63.58707110890104,42.08323945424959,10055,39945,100000,60055,1848576,30
uniform,mixed,std_set,0.5236380440848214,36.27687717553456,44.562548504193266,10055,39945,114688,60055,917504,15
