dataset,workload,table,load_factor,insert_ns_per_op,find_ns_per_op,insert_count,find_count,capacity,elements,bytes_estimate,bytes_per_element
uniform,bulk,linear,0.6103515625,19.1172,16.8176,10000,10000,16384,10000,131072,13
uniform,bulk,quadratic,0.6103515625,21.5963,19.0211,10000,10000,16384,10000,131072,13
uniform,bulk,cuckoo,0.30517578125,52.7928,19.8614,10000,10000,32768,10000,262144,26
uniform,bulk,slick,1.0,43.3359,12.7978,10000,10000,10000,10000,211072,21
uniform,bulk,std_set,0.6975446428571429,6.2785,3.4464,10000,10000,14336,10000,114688,11
uniform,bulk,linear,0.3814697265625,54.07107,23.6369,100000,100000,262144,100000,2097152,20
uniform,bulk,quadratic,0.3814697265625,65.74369,30.18114,100000,100000,262144,100000,2097152,20
uniform,bulk,cuckoo,0.3814697265625,75.34508,26.32979,100000,100000,262144,100000,2097152,20
uniform,bulk,slick,1.0,54.0404,14.91587,100000,100000,100000,100000,1848576,18
uniform,bulk,std_set,0.8719308035714286,8.80607,5.34834,100000,100000,114688,100000,917504,9
uniform,bulk,linear,0.476837158203125,119.481988,44.597351,1000000,1000000,2097152,1000000,16777216,16
uniform,bulk,quadratic,0.476837158203125,120.314818,45.04771,1000000,1000000,2097152,1000000,16777216,16
uniform,bulk,cuckoo,0.476837158203125,181.35693,56.451445,1000000,1000000,2097152,1000000,16777216,16
uniform,bulk,slick,1.0,133.530239,23.114787,1000000,1000000,1000000,1000000,16388608,16
uniform,bulk,std_set,0.5449567522321429,46.366582,30.242245,1000000,1000000,1835008,1000000,14680064,14
uniform,bulk,linear,0.5960464477539062,98.8960379,52.879892,10000000,10000000,16777216,10000000,134217728,13
uniform,bulk,quadratic,0.5960464477539062,102.1936101,57.227501,10000000,10000000,16777216,10000000,134217728,13
uniform,bulk,cuckoo,0.2980232238769531,208.3652587,66.5227421,10000000,10000000,33554432,10000000,268435456,26
uniform,bulk,slick,1.0,185.7682658,61.0101118,10000000,10000000,10000000,10000000,214217728,21
uniform,bulk,std_set,0.6811959402901786,119.1859912,43.8167077,10000000,10000000,14680064,10000000,117440512,11
uniform,bulk,linear,0.7450580596923828,135.59149136,89.41011898,100000000,100000000,134217728,100000000,1073741824,10
uniform,bulk,quadratic,0.7450580596923828,143.53511487,96.12001167,100000000,100000000,134217728,100000000,1073741824,10
uniform,bulk,cuckoo,0.3725290298461914,281.17982929,99.93154847,100000000,100000000,268435456,100000000,2147483648,21
uniform,bulk,slick,1.0,236.67528038,69.16624736,100000000,100000000,100000000,100000000,1873741824,18
uniform,bulk,std_set,0.8514949253627232,179.66535135,61.28818748,100000000,100000000,117440512,100000000,939524096,9
